BioSample,LibraryName,Run,refGenome,refPath,BioProject,fq1,fq2,SampleType,lat,long
AGW168_29_bzs_6,AGW168_29_bzs_6,AGW168_29_bzs_6,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_29_bzs_6_R1_001.fastq,samples/AGW168_29_bzs_6_R2_001.fastq,include,,
AGW168_30_bzs_8,AGW168_30_bzs_8,AGW168_30_bzs_8,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_30_bzs_8_R1_001.fastq,samples/AGW168_30_bzs_8_R2_001.fastq,include,,
AGW168_31_Sis_A,AGW168_31_Sis_A,AGW168_31_Sis_A,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_31_Sis_A_R1_001.fastq,samples/AGW168_31_Sis_A_R2_001.fastq,include,,
AGW168_32_1114_02,AGW168_32_1114_02,AGW168_32_1114_02,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_32_1114_02_R1_001.fastq,samples/AGW168_32_1114_02_R2_001.fastq,include,,
AGW168_33_1114_04,AGW168_33_1114_04,AGW168_33_1114_04,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_33_1114_04_R1_001.fastq,samples/AGW168_33_1114_04_R2_001.fastq,include,,
AGW168_34_1114_05,AGW168_34_1114_05,AGW168_34_1114_05,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_34_1114_05_R1_001.fastq,samples/AGW168_34_1114_05_R2_001.fastq,include,,
AGW168_35_0204_02,AGW168_35_0204_02,AGW168_35_0204_02,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_35_0204_02_R1_001.fastq,samples/AGW168_35_0204_02_R2_001.fastq,include,,
AGW168_36_0204_03,AGW168_36_0204_03,AGW168_36_0204_03,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_36_0204_03_R1_001.fastq,samples/AGW168_36_0204_03_R2_001.fastq,include,,
AGW168_37_0204_04,AGW168_37_0204_04,AGW168_37_0204_04,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_37_0204_04_R1_001.fastq,samples/AGW168_37_0204_04_R2_001.fastq,include,,
AGW168_39_0325_02,AGW168_39_0325_02,AGW168_39_0325_02,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_39_0325_02_R1_001.fastq,samples/AGW168_39_0325_02_R2_001.fastq,include,,
AGW168_40_8398,AGW168_40_8398,AGW168_40_8398,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_40_8398_R1_001.fastq,samples/AGW168_40_8398_R2_001.fastq,include,,
AGW168_41_9160,AGW168_41_9160,AGW168_41_9160,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_41_9160_R1_001.fastq,samples/AGW168_41_9160_R2_001.fastq,include,,
AGW168_42_8365,AGW168_42_8365,AGW168_42_8365,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_42_8365_R1_001.fastq,samples/AGW168_42_8365_R2_001.fastq,include,,
AGW168_43_8397,AGW168_43_8397,AGW168_43_8397,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_43_8397_R1_001.fastq,samples/AGW168_43_8397_R2_001.fastq,include,,
AGW168_44_8361,AGW168_44_8361,AGW168_44_8361,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_44_8361_R1_001.fastq,samples/AGW168_44_8361_R2_001.fastq,include,,
AGW168_46_9099,AGW168_46_9099,AGW168_46_9099,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_46_9099_R1_001.fastq,samples/AGW168_46_9099_R2_001.fastq,include,,
AGW168_47_6859,AGW168_47_6859,AGW168_47_6859,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_47_6859_R1_001.fastq,samples/AGW168_47_6859_R2_001.fastq,include,,
AGW168_48_3385,AGW168_48_3385,AGW168_48_3385,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_48_3385_R1_001.fastq,samples/AGW168_48_3385_R2_001.fastq,include,,
AGW168_49_7597,AGW168_49_7597,AGW168_49_7597,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_49_7597_R1_001.fastq,samples/AGW168_49_7597_R2_001.fastq,include,,
AGW168_50_8399,AGW168_50_8399,AGW168_50_8399,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_50_8399_R1_001.fastq,samples/AGW168_50_8399_R2_001.fastq,include,,
AGW168_r1H1_0204_07,AGW168_r1H1_0204_07,AGW168_r1H1_0204_07,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r1H1_0204_07_R1_001.fastq,samples/AGW168_r1H1_0204_07_R2_001.fastq,include,,
AGW168_r2E3_6211,AGW168_r2E3_6211,AGW168_r2E3_6211,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r2E3_6211_R1_001.fastq,samples/AGW168_r2E3_6211_R2_001.fastq,include,,
AGW168_r3F3_6247,AGW168_r3F3_6247,AGW168_r3F3_6247,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r3F3_6247_R1_001.fastq,samples/AGW168_r3F3_6247_R2_001.fastq,include,,
AGW168_r4D4_bzs_5,AGW168_r4D4_bzs_5,AGW168_r4D4_bzs_5,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r4D4_bzs_5_R1_001.fastq,samples/AGW168_r4D4_bzs_5_R2_001.fastq,include,,
AGW168_r5F5_OZD_Sis_B1,AGW168_r5F5_OZD_Sis_B1,AGW168_r5F5_OZD_Sis_B1,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r5F5_OZD_Sis_B1_R1_001.fastq,samples/AGW168_r5F5_OZD_Sis_B1_R2_001.fastq,include,,
AGW168_r6E6_9006,AGW168_r6E6_9006,AGW168_r6E6_9006,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_r6E6_9006_R1_001.fastq,samples/AGW168_r6E6_9006_R2_001.fastq,include,,
